[2025-10-21 06:27:28] IP: ::1 | Usuario: ID: 14 | Actividad: Registro de nuevo usuario: AS@gmail.com
[2025-10-21 06:27:43] IP: ::1 | Usuario: ID: 14 | Actividad: Inicio de sesión exitoso
[2025-10-21 06:28:47] IP: ::1 | Usuario: ID: 14 | Actividad: Inicio de sesión exitoso
[2025-10-21 06:34:34] IP: ::1 | Usuario: ID: 15 | Actividad: Registro de nuevo usuario: w@gmail.com
[2025-10-21 06:36:28] IP: ::1 | Usuario: ID: 16 | Actividad: Registro de nuevo usuario: h@gmail.com
[2025-10-21 07:25:54] IP: ::1 | Usuario: ID: 13 | Actividad: Inicio de sesión exitoso
[2025-10-21 23:09:00] IP: ::1 | Usuario: ID: 17 | Actividad: Registro de nuevo usuario: JU@gmail.com
[2025-10-21 23:09:09] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-22 07:58:58] IP: ::1 | Usuario: ID: 18 | Actividad: Registro de nuevo usuario: 1@gmail.com
[2025-10-22 07:59:04] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-22 07:59:47] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-22 08:01:45] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-23 05:34:47] IP: ::1 | Usuario: ID: 19 | Actividad: Registro de nuevo usuario: 1222@gmail.com
[2025-10-23 05:34:50] IP: ::1 | Usuario: ID: 19 | Actividad: Inicio de sesión exitoso
[2025-10-23 05:35:26] IP: ::1 | Usuario: ID: 19 | Actividad: Inicio de sesión exitoso
[2025-10-23 05:52:07] IP: ::1 | Usuario: ID: 19 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:03:33] IP: ::1 | Usuario: ID: 20 | Actividad: Registro de nuevo usuario: 454@gmail.com
[2025-10-23 06:03:37] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:04:03] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:06:32] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:19:45] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:31:52] IP: ::1 | Usuario: ID: 21 | Actividad: Registro de nuevo usuario: 12222@gmail.com
[2025-10-23 06:31:56] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:35:53] IP: 192.168.1.68 | Usuario: ID: 22 | Actividad: Registro de nuevo usuario: g@gmail.com
[2025-10-23 06:36:06] IP: 192.168.1.68 | Usuario: ID: 22 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:54:21] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:54:32] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:54:43] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:54:57] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:55:28] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:56:44] IP: ::1 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-23 06:57:15] IP: ::1 | Usuario: ID: 23 | Actividad: Registro de nuevo usuario: 123@gmail.com
[2025-10-23 06:57:19] IP: ::1 | Usuario: ID: 23 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:05:29] IP: ::1 | Usuario: ID: 23 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:21:47] IP: ::1 | Usuario: ID: 23 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:27:09] IP: ::1 | Usuario: ID: 24 | Actividad: Registro de nuevo usuario: 12@gmail.com
[2025-10-23 07:27:14] IP: ::1 | Usuario: ID: 24 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:39:14] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 7u7thin@gmail.com
[2025-10-23 07:40:08] IP: ::1 | Usuario: ID: 13 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:41:30] IP: ::1 | Usuario: ID: 13 | Actividad: Inicio de sesión exitoso
[2025-10-23 07:53:06] IP: ::1 | Usuario: ID: 13 | Actividad: Inicio de sesión exitoso
[2025-10-24 04:56:14] IP: ::1 | Usuario: ID: 17 | Actividad: Registro de nuevo usuario: 45@gmail.com
[2025-10-24 04:56:17] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-24 04:59:30] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-24 05:23:46] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-24 05:24:15] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-24 05:25:12] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-24 06:13:24] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 45@gmail.com
[2025-10-24 06:13:37] IP: ::1 | Usuario: ID: 17 | Actividad: Registro de nuevo usuario: 12@gmail.com
[2025-10-24 06:13:41] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
